time,Open,High,Low,Close,Volume
2026-05-07 04:55:00+00:00,644.43,644.7,644.02,644.61,812.3
2026-05-07 05:00:00+00:00,644.62,645.2,644.5,645.2,1878.49
2026-05-07 05:05:00+00:00,645.2,645.36,644.58,645.08,2296.5
2026-05-07 05:10:00+00:00,645.09,645.85,644.81,645.17,1486.75
2026-05-07 05:15:00+00:00,645.18,645.38,645.08,645.29,772.63
2026-05-07 05:20:00+00:00,645.28,645.28,644.95,644.98,811.47
2026-05-07 05:25:00+00:00,644.97,646.12,644.7,645.95,1338.88
2026-05-07 05:30:00+00:00,645.96,646.61,645.85,646.25,2433.0
2026-05-07 05:35:00+00:00,646.25,646.93,646.04,646.75,1602.01
2026-05-07 05:40:00+00:00,646.75,647.14,646.67,647.08,1359.59
2026-05-07 05:45:00+00:00,647.09,647.13,646.88,647.0,910.68
2026-05-07 05:50:00+00:00,647.0,647.24,646.75,647.23,1072.51
2026-05-07 05:55:00+00:00,647.24,647.56,647.01,647.5,816.84
2026-05-07 06:00:00+00:00,647.51,647.73,647.05,647.3,2701.38
2026-05-07 06:05:00+00:00,647.3,647.3,645.93,646.34,1419.62
2026-05-07 06:10:00+00:00,646.34,646.34,645.25,645.26,2186.38
2026-05-07 06:15:00+00:00,645.26,645.58,645.25,645.47,1862.02
2026-05-07 06:20:00+00:00,645.47,646.05,645.37,645.58,1571.53
2026-05-07 06:25:00+00:00,645.58,646.37,645.45,646.36,838.62
2026-05-07 06:30:00+00:00,646.36,647.66,646.34,647.66,2198.37
2026-05-07 06:35:00+00:00,647.67,648.16,647.67,647.86,1806.73
2026-05-07 06:40:00+00:00,647.87,648.49,647.84,648.47,1716.58
2026-05-07 06:45:00+00:00,648.47,648.62,647.47,647.71,1738.02
2026-05-07 06:50:00+00:00,647.71,648.31,647.71,648.31,883.93
2026-05-07 06:55:00+00:00,648.32,648.57,648.32,648.57,721.44
2026-05-07 07:00:00+00:00,648.56,648.65,647.99,648.38,1018.96
2026-05-07 07:05:00+00:00,648.38,648.97,648.25,648.67,1451.92
