time,Open,High,Low,Close,Volume
2026-04-07 14:20:00+00:00,2065.51,2075.56,2065.5,2073.99,54415.527
2026-04-07 14:25:00+00:00,2073.99,2077.42,2072.11,2075.84,28167.639
2026-04-07 14:30:00+00:00,2075.84,2077.39,2070.82,2073.78,22158.134
2026-04-07 14:35:00+00:00,2073.79,2075.0,2069.2,2071.49,11621.347
2026-04-07 14:40:00+00:00,2071.5,2073.32,2069.72,2071.16,7432.184
2026-04-07 14:45:00+00:00,2071.16,2080.61,2071.0,2074.03,21696.616
2026-04-07 14:50:00+00:00,2074.03,2075.44,2071.81,2073.76,8863.136
2026-04-07 14:55:00+00:00,2073.75,2073.75,2068.16,2068.48,13826.269
2026-04-07 15:00:00+00:00,2068.49,2070.69,2066.34,2067.78,18158.909
2026-04-07 15:05:00+00:00,2067.78,2069.11,2063.64,2069.11,21454.972
2026-04-07 15:10:00+00:00,2069.11,2072.7,2068.28,2069.99,19274.481
2026-04-07 15:15:00+00:00,2069.99,2077.9,2069.32,2075.47,39123.623
2026-04-07 15:20:00+00:00,2075.46,2077.3,2073.24,2076.02,11733.778
2026-04-07 15:25:00+00:00,2076.01,2080.45,2075.82,2079.36,28755.771
2026-04-07 15:30:00+00:00,2079.36,2081.8,2078.25,2079.06,17543.474
2026-04-07 15:35:00+00:00,2079.06,2080.69,2075.17,2076.43,16783.962
2026-04-07 15:40:00+00:00,2076.43,2077.28,2074.58,2075.9,8217.524
2026-04-07 15:45:00+00:00,2075.9,2078.16,2075.14,2076.5,8317.302
2026-04-07 15:50:00+00:00,2076.49,2078.32,2074.39,2078.07,10097.469
2026-04-07 15:55:00+00:00,2078.07,2082.39,2077.64,2079.26,17326.338
2026-04-07 16:00:00+00:00,2079.26,2088.6,2077.59,2082.44,61878.101
2026-04-07 16:05:00+00:00,2082.43,2084.02,2077.62,2077.72,15122.29
2026-04-07 16:10:00+00:00,2077.73,2079.11,2076.57,2078.37,8488.374
2026-04-07 16:15:00+00:00,2078.38,2080.78,2076.6,2077.99,10303.139
2026-04-07 16:20:00+00:00,2077.99,2084.12,2076.41,2081.79,19864.779
2026-04-07 16:25:00+00:00,2081.79,2084.23,2080.54,2083.62,11305.435
2026-04-07 16:30:00+00:00,2083.62,2084.57,2081.5,2083.7,11782.24
2026-04-07 16:35:00+00:00,2083.7,2083.7,2081.45,2083.31,6841.76
2026-04-07 16:40:00+00:00,2083.31,2086.42,2082.33,2085.99,12432.952
2026-04-07 16:45:00+00:00,2085.99,2089.36,2085.43,2085.61,24741.069
2026-04-07 16:50:00+00:00,2085.61,2086.34,2082.56,2083.59,6940.397
2026-04-07 16:55:00+00:00,2083.59,2083.59,2080.82,2082.61,6185.356
2026-04-07 17:00:00+00:00,2082.62,2086.18,2082.0,2085.6,15944.909
2026-04-07 17:05:00+00:00,2085.6,2087.0,2084.03,2084.43,6007.537
2026-04-07 17:10:00+00:00,2084.43,2085.47,2080.83,2081.69,8022.734
2026-04-07 17:15:00+00:00,2081.68,2082.61,2078.99,2081.45,10187.488
2026-04-07 17:20:00+00:00,2081.45,2085.3,2078.6,2084.0,9623.743
2026-04-07 17:25:00+00:00,2083.99,2084.6,2082.89,2084.43,5043.012
2026-04-07 17:30:00+00:00,2084.43,2090.15,2084.43,2088.01,18577.728
2026-04-07 17:35:00+00:00,2088.0,2115.81,2088.0,2097.72,155640.196
2026-04-07 17:40:00+00:00,2097.72,2100.4,2096.05,2096.12,20286.2
2026-04-07 17:45:00+00:00,2096.13,2099.12,2095.48,2099.11,13243.511
2026-04-07 17:50:00+00:00,2099.12,2101.67,2097.45,2100.06,17507.224
2026-04-07 17:55:00+00:00,2100.07,2100.45,2097.92,2098.29,7436.97
2026-04-07 18:00:00+00:00,2098.29,2100.49,2096.3,2096.8,9719.65
2026-04-07 18:05:00+00:00,2096.8,2097.32,2093.71,2094.3,16985.488
2026-04-07 18:10:00+00:00,2094.3,2097.16,2092.77,2096.0,10273.565
2026-04-07 18:15:00+00:00,2096.01,2096.01,2093.0,2095.1,7475.464
2026-04-07 18:20:00+00:00,2095.1,2095.92,2092.36,2093.39,5617.689
2026-04-07 18:25:00+00:00,2093.4,2095.83,2092.64,2093.9,4947.85
2026-04-07 18:30:00+00:00,2093.91,2097.4,2093.58,2095.98,10944.436
2026-04-07 18:35:00+00:00,2095.98,2096.18,2091.42,2093.22,7978.958
2026-04-07 18:40:00+00:00,2093.22,2093.44,2089.03,2089.89,15252.873
2026-04-07 18:45:00+00:00,2089.89,2090.55,2088.01,2089.72,8663.394
2026-04-07 18:50:00+00:00,2089.71,2090.47,2081.96,2084.05,37068.081
2026-04-07 18:55:00+00:00,2084.04,2086.74,2081.41,2085.32,14965.955
2026-04-07 19:00:00+00:00,2085.31,2087.72,2084.35,2085.65,16262.236
2026-04-07 19:05:00+00:00,2085.66,2089.4,2083.17,2085.0,13152.482
2026-04-07 19:10:00+00:00,2085.0,2088.3,2084.68,2087.27,5108.011
2026-04-07 19:15:00+00:00,2087.27,2099.6,2087.27,2099.08,32709.66
2026-04-07 19:20:00+00:00,2099.08,2104.5,2093.31,2095.23,29692.912
2026-04-07 19:25:00+00:00,2095.23,2097.15,2093.2,2095.63,9541.018
2026-04-07 19:30:00+00:00,2095.62,2095.68,2090.41,2091.3,16455.419
2026-04-07 19:35:00+00:00,2091.29,2092.65,2089.5,2092.0,6157.027
2026-04-07 19:40:00+00:00,2092.0,2095.44,2091.0,2093.76,7538.28
2026-04-07 19:45:00+00:00,2093.77,2110.83,2093.07,2106.15,103679.079
2026-04-07 19:50:00+00:00,2106.14,2117.0,2106.14,2111.86,47729.105
2026-04-07 19:55:00+00:00,2111.85,2114.1,2108.53,2112.52,30919.909
2026-04-07 20:00:00+00:00,2112.52,2124.8,2111.94,2118.85,87736.532
2026-04-07 20:05:00+00:00,2118.86,2124.3,2118.29,2119.01,23392.777
2026-04-07 20:10:00+00:00,2119.0,2119.97,2117.35,2118.57,11203.973
